mag,time,x,y,nnd,parent,T,R
1.744018839,2915.822,18.924095,21.285209,1.7343529777136105e-06,2204,0.01772971668618053,9.782181003859222e-05
1.816257273,2915.951,13.981194,32.389102,1.2535175251786078e-06,2469,0.00022695374000355415,0.005523229205912083
1.380864821,2916.217,23.323746,23.394084,2.566599129337619e-06,2472,9.189297548410478e-05,0.027930308228854523
1.94811371,2916.312,16.127797,25.580919,6.87130277771283e-07,2345,0.0080866180520395,8.497127888932309e-05
1.517778289,2916.4,14.915434,32.306382,1.701772655515346e-07,2473,9.436639406531464e-05,0.0018033672605286617
1.572726354,2916.516,15.287525,27.644335,2.1303119488504915e-07,2475,3.561883971459628e-05,0.005980857225895286
1.413215052,2916.799,16.59216,29.073851,6.780276402775382e-07,2477,8.37675237724341e-05,0.00809415880693206
1.395366745,2916.909,13.273699,44.52761,1.1884298580907303e-05,2478,4.074660955763351e-05,0.2916634956853947
1.440747543,2916.995,17.019624,30.092722,2.999455452425659e-07,2478,7.26030497571215e-05,0.004131307792798948
1.508209714,2917.607,16.805094,27.153485,1.728360881183715e-07,2471,0.0007290501201650987,0.0002370702415894692
1.617131288,2918.225,12.438674,32.031025,1.9925248622443425e-06,2473,0.0004779269044643247,0.004169099591657486
1.495460417,2918.309,14.77089,35.860422,6.812520213463585e-07,2482,2.335885489654262e-05,0.029164615490085158
1.757977722,2918.585,20.330592,7.50961,4.788827794769435e-05,2482,0.00010010937812773268,0.4783595587477549
1.493206908,2918.749,17.81173,25.793286,5.071917772781544e-07,2429,0.0037631393845423476,0.00013477889747095728
1.710925093,2919.193,14.747546,31.058281,2.298192123488618e-06,2317,0.010018820017666963,0.00022938750465983395
1.719042746,2919.466,14.01335,30.961263,9.535251517242124e-08,2486,6.653610687360426e-05,0.0014330942950052405
1.40673794,2919.791,12.847574,30.568973,2.4984963771575267e-07,2487,7.831065436500068e-05,0.003190493550867553
1.53592988,2919.985,16.712904,25.634998,4.546931439037725e-07,2475,0.0006413137170176764,0.0007090026797153941
1.415667127,2920.234,17.96279,22.940377,5.286133814552565e-07,2427,0.006525069025165786,8.101268805226558e-05
1.408850251,2920.411,18.543351,24.717383,6.239940400704952e-07,2490,6.533932420733294e-05,0.009550053473011973
1.441391804,2920.525,17.455281,23.992436,2.3119786322391875e-07,2491,4.2488276872170234e-05,0.005441450683432
1.839706711,2920.672,18.049472,24.410998,1.0632709505774153e-07,2492,5.2337056267524023e-05,0.00203158340649203
1.540061149,2920.747,15.581545,30.351111,5.794623993324273e-07,2493,1.5251490864498283e-05,0.037993820045571614
1.508464226,2921.311,18.523815,24.961401,1.2506398278846793e-07,2491,0.0003354337647802289,0.0003728425576668108
1.337184744,2921.429,19.699759,34.491673,4.393714587403467e-06,2495,3.8230899727307995e-05,0.11492574380259944
1.372718743,2921.542,18.305701,26.122238,3.009066275774645e-07,2495,7.484184607630401e-05,0.004020566612836877
1.777325503,2922.314,13.670621,30.733055,3.801048065754862e-07,2487,0.0006862422880964039,0.0005538930100473329
1.334973382,2922.461,20.096317,31.118161,1.355167884372297e-06,2498,3.26334514574247e-05,0.04152695543529373
1.397392008,2922.601,14.410107,32.919799,5.127857721298586e-07,2498,6.371292903601094e-05,0.008048378561281162
1.477903723,2922.713,16.18937,22.184544,4.411035377954308e-06,2493,0.0004150439047269206,0.010627876539607447
1.545229274,2923.717,15.340989,33.233887,1.4796018258680514e-06,2500,0.0004226936497007246,0.0035004117684655028
1.454317217,2924.821,18.890373,24.494681,1.2460274147475688e-06,2493,0.0008437124746260684,0.001476838913991174
1.523194426,2925.279,16.618183,24.072949,2.033331841635463e-06,2503,0.00016012686816293444,0.012698255233259669
1.438194229,2925.418,11.971348,30.969855,1.7943966152714982e-06,2315,0.013764713715604223,0.00013036207307655804
1.302116751,2925.651,13.337714,38.747803,7.731355166794926e-06,2505,8.332984172272569e-05,0.09278014942738615
1.56170501,2925.733,12.647061,32.297391,7.247407585988523e-07,2505,0.00011265622378838928,0.006433206566200796
1.591172145,2925.926,15.002223,30.138003,6.105708454758622e-07,2414,0.009377243688581439,6.511197381159533e-05
1.405748664,2926.194,17.645962,26.911133,1.2069288735000286e-06,2266,0.022086256738144096,5.464614886123281e-05
1.708901108,2926.475,15.123312,30.223625,2.048928028388967e-08,2508,0.00015834239322136176,0.00012939857650910814
1.513635869,2926.681,14.251608,34.727975,1.3390010096175916e-06,2510,5.034982393727254e-05,0.026593956143436827
1.383103609,2926.779,13.476436,30.681795,1.6037192891562597e-07,2498,0.0009912133384861969,0.00016179355411071196
1.47192066,2926.879,18.949967,25.944874,1.980512339663871e-06,2509,0.0002564182311711894,0.00772375790371023
1.550296691,2927.411,19.300375,17.705549,4.508737577319826e-06,2212,0.027771605124334322,0.0001623506296137393
